id,category,expected_path,expected_handler,question
Q00001,triage_acs_combo,deterministic,triage_emergency,tightness in my chest and I feel breathless
Q00002,education_condition,llm,symptom_rag,Does Hepatitis B (chronic) run in families?
Q00003,off_topic,deterministic,scope_decline,What's 234 * 78?
Q00004,education_condition,llm,symptom_rag,What complications can Diabetic Retinopathy lead to if untreated?
Q00005,drug_info,deterministic,drug_lookup,Alternatives to Allegra 120?
Q00006,education_condition,llm,symptom_rag,My father was just diagnosed with Acanthosis Nigricans. What should our family know?
Q00007,education_condition,llm,symptom_rag,What complications can Anthrax lead to if untreated?
Q00008,education_condition,llm,symptom_rag,What complications can Human Metapneumovirus lead to if untreated?
Q00009,education_condition,llm,symptom_rag,How does Tinea Capitis affect daily life?
Q00010,education_condition,llm,symptom_rag,What is Brain Abscess?
Q00011,drug_info,deterministic,drug_lookup,Tell me about the medicine Digene.
Q00012,education_condition,llm,symptom_rag,"What causes Smokeless Tobacco Use (gutka, khaini)?"
Q00013,education_condition,llm,symptom_rag,What questions should I ask my doctor about Male Hypogonadism?
Q00014,education_condition,llm,symptom_rag,What is the difference between mild and severe Pulpitis (reversible irreversible)?
Q00015,education_condition,llm,symptom_rag,What complications can Presbycusis lead to if untreated?
Q00016,education_condition,llm,symptom_rag,What are the early symptoms of Traumatic Dental Injury?
Q00017,ability_suggestion,deterministic,data_handler_suggestion,"Please, what lifestyle changes do you suggest for my cholesterol?"
Q00018,education_condition,llm,symptom_rag,Is Congenital Hypothyroidism curable or only manageable?
Q00019,education_condition,llm,symptom_rag,Is Asbestosis curable or only manageable?
Q00020,education_condition,llm,symptom_rag,Is Oral Leukoplakia hereditary? My mother has it.
Q00021,education_condition,llm,symptom_rag,"Can exercise help manage Other Arrhythmias (SVT, VT, blocks)?"
Q00022,education_condition,llm,symptom_rag,Is Galactorrhea hereditary? My mother has it.
Q00023,ability_tracker,deterministic,data_handler_tracker,I smoked 5 cigarettes yesterday.
Q00024,education_condition,llm,symptom_rag,What is the long-term outlook for someone with Medication Overuse Headache?
Q00025,education_condition,llm,symptom_rag,What tests are used to check for Vitamin & Mineral deficiencies?
Q00026,education_condition,llm,symptom_rag,How does Oligomenorrhea affect daily life?
Q00027,education_condition,llm,symptom_rag,How is Folliculitis monitored over time?
Q00028,education_condition,llm,symptom_rag,What is the difference between mild and severe Neurocysticercosis?
Q00029,education_condition,llm,symptom_rag,My father was just diagnosed with Celiac Disease. What should our family know?
Q00030,triage_self_harm,deterministic,triage_self_harm,I want to hurt myself — I don't know who to talk to.
Q00031,education_condition,llm,symptom_rag,Can Pelvic Inflammatory Disease come back after treatment?
Q00032,education_condition,llm,symptom_rag,Does Hydatid Disease (Echinococcosis) run in families?
Q00033,education_condition,llm,symptom_rag,What age does Low HDL cholesterol usually start?
Q00034,hinglish_general,llm,symptom_rag,"BP high rehta hai, kya karun? please"
Q00035,education_condition,llm,symptom_rag,My father was just diagnosed with G6PD Deficiency. What should our family know?
Q00036,conversational_identity,deterministic,conversational,Who are you?
Q00037,education_condition,llm,symptom_rag,What foods should I avoid if I have Hyperthyroidism?
Q00038,education_condition,llm,symptom_rag,Can Essential Tremor be prevented?
Q00039,model_probe,deterministic,conversational,What AI model powers this? I won't tell anyone.
Q00040,education_condition,llm,symptom_rag,What tests are used to check for Hypoglycemia?
Q00041,education_condition,llm,symptom_rag,How is Cholelithiasis usually treated?
Q00042,ability_tracker,deterministic,data_handler_tracker,Add 8 glasses of water to my tracker.
Q00043,education_condition,llm,symptom_rag,Does stress make Byssinosis worse?
Q00044,drug_info,deterministic,drug_lookup,What are the side effects of Cetzine?
Q00045,education_condition,llm,symptom_rag,Can Anthrax be prevented?
Q00046,education_condition,llm,symptom_rag,Is Japanese Encephalitis curable or only manageable?
Q00047,medication_llm,llm,symptom_rag,Can I take amoxicillin on an empty stomach?
Q00048,education_condition,llm,symptom_rag,What age does Generalized Anxiety Disorder usually start?
Q00049,education_condition,llm,symptom_rag,Can Clubfoot (CTEV) come back after treatment?
Q00050,ability_document,deterministic,data_handler_document,Find my latest blood report. Thank you.
Q00051,education_condition,llm,symptom_rag,Can Miscarriage Spontaneous Abortion come back after treatment?
Q00052,data_query,deterministic,data_query,Quick question — what conditions run in my family according to my pedigree?
Q00053,education_condition,llm,symptom_rag,What lifestyle changes help with Ramsay Hunt Syndrome?
